state,abbr,population,age,householdincome,rental,mortgage,highschool,college,unemployment,poverty
Alabama,AL,4841164,38.6,44758,728,1137,21.73382269,21.51503234,33.57969282,17.94332933
Alaska,AK,736855,33.6,74444,1173,1846,18.12174716,23.70317091,22.83447897,9.883355613
Arizona,AZ,6728577,37.1,51340,937,1332,16.95597747,24.08580596,31.86590567,17.32366294
Arkansas,AR,2968472,37.7,42336,689,1021,23.81346363,18.57689747,32.84922344,18.27307113
California,CA,38654206,36,63783,1297,2157,15.35148077,26.31554765,28.90869366,15.53325659
Colorado,CO,5359295,36.4,62520,1057,1585,15.15960588,31.55885242,25.15629388,11.90339401
Connecticut,CT,3588570,40.6,71755,1094,2055,19.43768688,31.28669637,26.6085098,10.04478107
Delaware,DE,934695,39.6,61017,1039,1519,22.09929442,26.20234408,29.76564548,11.70948812
District of Columbia,DC,659009,33.8,72935,1362,2336,13.40968029,41.09382421,25.75442824,17.00432012
Florida,FL,19934451,41.6,48900,1032,1422,21.65138132,26.47688667,33.73910322,15.74790296
Georgia,GA,10099320,36.2,51037,897,1339,19.20399591,23.99030826,28.97103963,17.29714476
Hawaii,HI,1413673,38.5,71977,1456,2267,19.87871311,28.73302383,27.9868824,10.50999772
Idaho,ID,1635483,35.7,49174,764,1179,18.33060937,22.7955289,28.63135844,14.95490934
Illinois,IL,12851684,37.4,59196,925,1623,18.59735269,27.28584052,27.30979069,13.64592376
Indiana,IN,6589578,37.4,50433,758,1097,23.14523024,21.73642986,28.36055662,14.53346481
Iowa,IA,3106589,38,54570,715,1180,21.60185979,25.46394132,25.60432037,11.90463238
Kansas,KS,2898292,36.2,53571,775,1284,17.80031136,25.76565784,25.90039237,12.87523824
Kentucky,KY,4411989,38.6,44811,690,1116,23.18310404,20.52520983,32.31268256,18.22622405
Louisiana,LA,4645670,36.2,45652,800,1206,23.19439392,18.90295695,31.12089322,19.14836827
Maine,ME,1329923,44,50826,790,1340,24.2771198,28.09884482,30.50251781,13.11391712
Maryland,MD,5959902,38.3,76067,1264,1938,18.03811539,30.48053475,25.41971328,9.678598742
Massachusetts,MA,6742143,39.4,70954,1129,2067,18.26233884,33.76641522,26.64430286,10.98813834
Michigan,MI,9909600,39.5,50803,799,1242,20.70069428,24.62487891,31.1537499,15.89434488
Minnesota,MN,5450868,37.8,63217,873,1487,17.98918998,30.37873968,23.83315832,10.58906581
Mississippi,MS,2989192,36.7,40528,723,1084,20.75510707,19.40925842,33.01738396,21.59623738
Missouri,MO,6059651,38.3,49593,759,1210,21.47069196,23.65203871,29.17986531,14.81529217
Montana,MT,1023391,39.8,48380,732,1307,20.60287808,26.33363006,29.20985234,14.5278784
Nebraska,NE,1881259,36.2,54384,745,1282,18.29562011,26.06775569,23.34261258,12.06750373
Nevada,NV,2839172,37.5,53094,984,1417,20.23167318,21.05303941,28.34826492,14.69643262
New Hampshire,NH,1327503,42.4,68485,1021,1853,20.32251528,31.78923136,26.25832107,8.262881515
New Jersey,NJ,8915456,39.5,73702,1213,2374,20.25383783,30.06815355,27.4135277,10.64826073
New Mexico,NM,2082669,37.2,45674,792,1225,18.29301728,22.91348265,32.22869309,20.493607
New York,NY,19697457,38.2,60741,1159,2030,19.42281686,29.72847206,29.65800103,15.06572143
North Carolina,NC,9940828,38.3,48256,816,1243,18.6016195,25.6338305,29.77267085,16.4141659
North Dakota,ND,736162,35.2,59114,736,1278,18.16787609,26.95710998,23.42405612,10.77398725
Ohio,OH,11586941,39.3,50674,743,1238,23.49790165,23.74902056,29.32731771,14.95510334
Oklahoma,OK,3875589,36.2,48038,742,1156,21.30677427,20.85045654,30.03476375,16.02737029
Oregon,OR,3982267,39.1,53270,941,1563,17.24881832,27.64026119,30.73166616,15.42395324
Pennsylvania,PA,12783977,40.6,54895,859,1426,25.58580166,25.87715857,30.39637039,12.88927538
Rhode Island,RI,1054491,39.9,58387,938,1793,20.06835525,28.15140196,28.5517847,13.29181567
South Carolina,SC,4834605,38.8,46898,811,1185,20.68652972,24.08004377,31.38169509,16.68020448
South Dakota,SD,851058,36.8,52078,676,1221,20.56546087,25.17666246,24.40479967,13.5478428
Tennessee,TN,6548009,38.5,46574,782,1180,22.9392171,21.74854983,30.98654874,16.80158045
Texas,TX,26956435,34.2,54727,911,1444,17.13840499,22.11470842,27.03230602,16.31264297
Utah,UT,2948427,30.3,62518,912,1429,13.80173225,23.98451785,23.25277173,11.49114426
Vermont,VT,626249,42.6,56104,913,1533,21.25033333,31.2461976,28.01872738,11.12544691
Virginia,VA,8310301,37.8,66149,1135,1706,17.4060723,29.92974623,27.07467515,11.09062115
Washington,WA,7073146,37.6,62848,1056,1729,16.34217645,29.43328188,28.62082869,12.48745608
West Virginia,WV,1846092,41.9,42644,658,977,29.04421881,18.50368237,37.74091432,17.22882717
Wisconsin,WI,5754798,39.1,54610,789,1391,22.00356989,26.15897204,26.4394858,12.39786349
Wyoming,WY,583029,36.8,59143,802,1355,19.55888987,24.36688398,25.40079481,11.27937032
