state,abbr,population,age,householdincome,rental,mortgage,highschool,college,unemployment,poverty
Alabama,AL,4817678,38.2,43511,715,1159,21.61688681,20.45977336,32.7085787,18.46761033
Alaska,AK,728300,33.4,71829,1131,1843,17.78593986,22.67225045,22.49402719,9.867636963
Arizona,AZ,6561516,36.5,49928,905,1390,16.85253835,23.1931005,31.17034234,17.82071399
Arkansas,AR,2947036,37.6,41264,675,1027,23.9231214,17.78244311,32.02217414,18.6391683
California,CA,38066920,35.6,61489,1243,2214,15.17870371,25.33396188,28.4392906,16.06445701
Colorado,CO,5197580,36.2,59448,969,1608,15.18776046,30.3616106,24.68881672,12.77250182
Connecticut,CT,3592053,40.3,69899,1069,2110,19.54339204,30.31336119,25.9964427,10.1540818
Delaware,DE,917060,39.1,60231,1012,1575,22.0924476,24.9016422,28.98556256,11.67873422
District of Columbia,DC,633736,33.7,69235,1302,2322,13.81127157,39.48458033,26.70844011,17.25923728
Florida,FL,19361792,41.2,47212,998,1480,21.76191129,25.16274837,33.06782244,16.31697624
Georgia,GA,9907756,35.8,49342,874,1388,19.33995952,22.87531102,28.51034079,17.97973224
Hawaii,HI,1392704,38.2,68201,1417,2291,19.95377338,27.5748472,27.78903486,11.03981894
Idaho,ID,1599464,35.2,47334,738,1212,18.27424687,21.8238735,28.00288097,15.29374841
Illinois,IL,12868747,37,57166,903,1676,18.7318237,26.21091238,26.82181878,14.06873567
Indiana,IN,6542411,37.2,48737,741,1119,23.51428243,20.76506658,28.1693553,15.03766731
Iowa,IA,3078116,38,52716,689,1181,21.99858615,24.63110552,25.35732896,12.14596851
Kansas,KS,2882946,36,51872,748,1294,18.08913521,24.87490227,25.30113294,13.39123244
Kentucky,KY,4383272,38.3,43342,667,1124,23.36569576,19.49217388,31.88127499,18.3394049
Louisiana,LA,4601049,36,44991,786,1207,23.07865011,17.96627247,30.49524141,19.00953456
Maine,ME,1328535,43.5,48804,772,1348,24.36714125,26.88562966,29.73779389,13.53957555
Maryland,MD,5887776,38.1,74149,1218,1999,18.05783712,29.4508147,24.83260233,9.738532852
Massachusetts,MA,6657291,39.3,67846,1088,2095,18.46994521,32.68009465,26.4341006,11.15745128
Michigan,MI,9889024,39.3,49087,780,1295,20.92599836,23.55207147,30.75999209,16.51645299
Minnesota,MN,5383661,37.6,60828,835,1526,18.33822746,29.20462488,23.62119383,11.25184145
Mississippi,MS,2984345,36.3,39464,714,1090,20.46546227,18.67937521,32.37725531,21.90517517
Missouri,MO,6028076,38.1,47764,740,1225,21.51550511,22.64369261,28.65481457,15.13403282
Montana,MT,1006370,39.8,46766,696,1290,20.53668134,25.38797858,28.62794002,14.91459404
Nebraska,NE,1855617,36.2,52400,721,1279,18.73123603,25.14015554,22.94929395,12.48975408
Nevada,NV,2761584,36.9,52205,980,1514,20.12276288,20.17392917,27.51308669,15.33822618
New Hampshire,NH,1321069,41.8,65986,1001,1905,20.65630183,30.60082403,25.59018492,8.581989283
New Jersey,NJ,8874374,39.3,72062,1188,2428,20.49418922,29.07360001,26.87541679,10.53217951
New Mexico,NM,2080085,36.8,44968,774,1242,18.10603894,22.09183759,31.13218931,20.48550901
New York,NY,19594330,38.1,58687,1117,2042,19.56151091,28.67893416,29.48962787,15.20093313
North Carolina,NC,9750405,37.8,46693,790,1272,18.71737636,24.39250472,29.11173433,17.11874532
North Dakota,ND,704925,35.9,55579,676,1236,18.19129695,26.2139944,23.62024329,11.47143313
Ohio,OH,11560380,39.1,48849,729,1274,23.77123416,22.67738604,28.97211856,15.48879881
Oklahoma,OK,3818851,36.2,46235,717,1150,21.24301262,20.18046789,29.71299482,16.37948168
Oregon,OR,3900343,38.9,50521,894,1591,17.54543126,26.2879957,30.19675449,16.37845697
Pennsylvania,PA,12758729,40.4,53115,832,1443,25.91414866,24.61100161,30.11972431,13.07228957
Rhode Island,RI,1053252,39.7,56423,923,1867,19.73630242,26.97407648,27.9526647,13.67156198
South Carolina,SC,4727273,38.3,45033,784,1201,20.86433341,22.79692753,30.92770398,17.77221244
South Dakota,SD,834708,36.8,50338,648,1210,20.9373817,24.26956493,24.11597828,13.71066289
Tennessee,TN,6451365,38.3,44621,757,1197,23.01012266,20.73496074,30.63185853,17.38149988
Texas,TX,26092033,33.9,52576,870,1443,17.10486875,21.19227352,26.70899197,17.24677414
Utah,UT,2858111,29.9,59846,875,1454,13.78448913,23.08451281,23.00956821,12.54961756
Vermont,VT,626358,42.2,54447,889,1541,21.59595631,30.27613601,27.12905399,11.50204835
Virginia,VA,8185131,37.6,64792,1108,1742,17.59266895,28.80978936,26.79026151,11.16948525
Washington,WA,6899123,37.4,60294,995,1764,16.48054398,28.26386774,28.06397277,13.28232588
West Virginia,WV,1853881,41.6,41576,630,971,29.24950415,17.60657777,37.34651793,17.59686841
Wisconsin,WI,5724692,38.8,52738,772,1431,22.34361255,25.0875855,25.93908982,12.90125303
Wyoming,WY,575251,36.8,58252,778,1357,19.67176067,23.525209,24.87227315,11.34652526
