state,abbr,population,age,householdincome,rental,mortgage,highschool,college,unemployment,poverty
Alabama,AL,4799277,38.1,43253,705,1160,21.51242781,19.9856145,32.2358972,18.1408783
Alaska,AK,720316,33.6,70760,1098,1850,17.61102072,22.39086734,22.23704596,9.650486731
Arizona,AZ,6479703,36.3,49774,896,1439,16.73584422,22.87509165,30.60638736,17.46840866
Arkansas,AR,2933369,37.5,40768,661,1021,23.94151571,17.33007337,31.65193332,18.65868222
California,CA,37659181,35.4,61094,1224,2270,15.04062183,24.95262178,28.06845693,15.62810673
Colorado,CO,5119329,36.1,58433,939,1629,15.22181911,29.92147994,24.40226053,12.90938715
Connecticut,CT,3583561,40.2,69461,1056,2135,19.5886159,29.84508984,25.68470301,9.888153153
Delaware,DE,908446,38.9,59878,999,1605,22.04181646,24.32516627,28.58375732,11.40772264
District of Columbia,DC,619371,33.8,65830,1242,2344,13.8496959,38.4649911,27.06164803,17.63078995
Florida,FL,19091156,41,46956,990,1530,21.72707614,24.63964466,32.51623422,15.990687
Georgia,GA,9810417,35.6,49179,860,1411,19.35740346,22.4946911,27.98586441,17.70240755
Hawaii,HI,1376298,38.3,67402,1380,2326,19.8932208,27.24729673,27.30070087,10.86472552
Idaho,ID,1583364,34.9,46767,728,1231,18.24217299,21.38825943,27.49525693,15.17642185
Illinois,IL,12848554,36.8,56797,890,1701,18.71084482,25.74892863,26.50790898,13.79402694
Indiana,IN,6514861,37.1,48248,730,1134,23.61172403,20.30057126,27.87368756,14.88720941
Iowa,IA,3062553,38.1,51843,670,1178,22.20813811,24.05731427,25.14118123,11.99698422
Kansas,KS,2868107,36,51332,732,1290,18.22024074,24.42360065,24.86057877,13.34747971
Kentucky,KY,4361333,38.2,43036,655,1123,23.41201646,19.15613873,31.58557258,18.2559323
Louisiana,LA,4567968,36,44874,773,1201,23.05896188,17.60839831,30.09292097,18.53734527
Maine,ME,1328320,43.2,48453,764,1345,24.49176403,26.34583534,29.34405866,13.22151289
Maryland,MD,5834299,38,73538,1196,2037,18.10073498,28.96301681,24.52987068,9.569770079
Massachusetts,MA,6605058,39.2,66866,1069,2116,18.53341787,32.16351772,26.26630985,10.98175065
Michigan,MI,9886095,39.1,48411,768,1325,20.99846299,23.0138189,30.35916608,16.44716139
Minnesota,MN,5347740,37.6,59836,819,1547,18.52947226,28.54704978,23.39794006,11.18960533
Mississippi,MS,2976872,36.2,39031,702,1085,20.54011728,18.20346995,32.15697551,21.94656001
Missouri,MO,6007182,38,47380,727,1227,21.55213543,22.13720177,28.24379218,14.99753129
Montana,MT,998554,39.9,46230,682,1293,20.67970285,25.02678874,28.33126701,14.87430825
Nebraska,NE,1841625,36.3,51672,706,1278,18.84471594,24.73141926,22.81392792,12.42321319
Nevada,NV,2730066,36.6,52800,986,1608,20.01178726,19.87541693,26.7144091,14.77304944
New Hampshire,NH,1319171,41.5,64916,987,1918,20.72703236,29.98474042,25.06286145,8.403686861
New Jersey,NJ,8832406,39.1,71629,1172,2453,20.56449851,28.60995067,26.61934925,10.19634967
New Mexico,NM,2069706,36.7,44927,758,1243,18.12281551,21.70984671,30.59202611,19.99322609
New York,NY,19487053,38.1,58003,1088,2040,19.58014893,28.22322082,29.29173539,14.90210962
North Carolina,NC,9651380,37.6,46334,776,1281,18.79078432,23.87703106,28.72221382,17.0275028
North Dakota,ND,689781,36.4,53741,645,1214,18.08240587,26.07595744,23.68244414,11.51568396
Ohio,OH,11549590,39,48308,718,1288,23.84331392,22.13343504,28.66740724,15.35857983
Oklahoma,OK,3785742,36.2,45339,699,1137,21.24204449,19.82311526,29.49004449,16.34245017
Oregon,OR,3868721,38.7,50229,875,1615,17.45623424,25.89951563,29.58959822,15.89098826
Pennsylvania,PA,12731381,40.3,52548,813,1442,26.00721791,24.04508985,29.89968645,12.87228777
Rhode Island,RI,1051695,39.6,56361,918,1899,19.60245128,26.85075046,27.59450221,13.04979105
South Carolina,SC,4679602,38.1,44779,768,1205,20.73738322,22.46567123,30.45226923,17.52943947
South Dakota,SD,825198,36.9,49495,632,1204,21.09893626,23.69661584,24.1355408,13.58292192
Tennessee,TN,6402387,38.2,44298,742,1202,22.92888574,20.24157552,30.2663366,17.2081444
Texas,TX,25639373,33.8,51900,851,1443,17.06242192,20.77781699,26.43241315,17.22674342
Utah,UT,2813673,29.6,58821,856,1466,13.91448118,22.68586293,22.70249599,12.4465423
Vermont,VT,625904,42,54267,875,1546,21.63782305,30.01147141,26.67965055,11.32330198
Virginia,VA,8100653,37.5,63907,1087,1767,17.60353147,28.2595613,26.54113193,10.95707963
Washington,WA,6819579,37.3,59478,973,1795,16.52311675,27.76798978,27.70493604,13.09774401
West Virginia,WV,1853619,41.5,41043,611,965,29.08968887,17.23547288,37.0174777,17.34693052
Wisconsin,WI,5706871,38.7,52413,759,1445,22.56500979,24.42935893,25.50427371,12.6817305
Wyoming,WY,570134,36.8,57406,764,1352,19.99775491,22.99757601,24.34094441,11.18035409
