County,State,Population,White Population,Black Population,Hispanic Population,Asian Population,Native Hawaiian or Pacific Islander,Median Age,Employed,Unemployed,Household Income,Per Capita Income,Avg Rent,Avg Rent plus Utilities,Median Home Value,Avg Monthly Cost of Home,High School,College,Advanced Degree,Poverty Count,Poverty Rate,Family Poverty,Male Family Poverty,Female Family Poverty,White Poverty,Black Poverty,Hispanic Poverty,Asian Poverty,Native Hawaiian or Pacific Islander Poverty
Autauga County, Alabama,54907.0,42997.0,10076.0,1365.0,525.0,15.0,37.5,27101.0,15125.0,53682.0,24571.0,668.0,851.0,136200.0,1223.0,12826,7521,2573,6615.0,12.047644198371792,1174.0,62.0,725.0,3902.0,2523.0,471.0,69.0,0.0
Baldwin County, Alabama,187114.0,161737.0,17733.0,8322.0,1331.0,5.0,41.5,90579.0,58995.0,50221.0,26766.0,693.0,876.0,168600.0,1365.0,38690,35501,11750,25752.0,13.762732879421101,5343.0,551.0,2589.0,17122.0,6177.0,2312.0,406.0,0.0
Barbour County, Alabama,27321.0,12960.0,12675.0,1339.0,152.0,0.0,38.3,10903.0,11153.0,32911.0,16829.0,382.0,587.0,89200.0,906.0,6691,2923,999,6512.0,23.8351451264595,1262.0,48.0,928.0,1419.0,4517.0,515.0,26.0,0.0
Bibb County, Alabama,22754.0,17461.0,4937.0,443.0,25.0,0.0,39.4,9144.0,9261.0,36447.0,17427.0,351.0,568.0,90500.0,1063.0,6504,2192,584,3898.0,17.131053880636372,804.0,90.0,464.0,2412.0,1452.0,93.0,0.0,0.0
Blount County, Alabama,57623.0,54890.0,818.0,4800.0,58.0,0.0,39.6,25523.0,19959.0,44145.0,20730.0,403.0,600.0,117100.0,1104.0,14050,6503,1590,9023.0,15.65867795845409,1875.0,170.0,814.0,8402.0,345.0,1328.0,19.0,0.0
Bullock County, Alabama,10746.0,3001.0,7614.0,611.0,6.0,32.0,39.6,4794.0,3899.0,32033.0,18628.0,276.0,492.0,70600.0,1207.0,2951,683,552,2211.0,20.575097710776102,437.0,99.0,322.0,363.0,1848.0,201.0,0.0,0.0
Butler County, Alabama,20624.0,11300.0,9024.0,220.0,106.0,0.0,40.6,8954.0,7288.0,29918.0,17403.0,331.0,560.0,74700.0,963.0,5456,2259,739,5776.0,28.006206361520558,1248.0,88.0,721.0,2114.0,3607.0,35.0,0.0,0.0
Calhoun County, Alabama,117714.0,88358.0,24385.0,3953.0,854.0,24.0,38.7,53488.0,40504.0,39962.0,20828.0,422.0,615.0,100600.0,1046.0,27042,13405,4666,25105.0,21.327114871638038,5090.0,372.0,2977.0,14675.0,9120.0,1056.0,77.0,0.0
Chambers County, Alabama,34145.0,19881.0,13737.0,174.0,186.0,13.0,42.4,15463.0,12038.0,32402.0,19291.0,374.0,635.0,81200.0,926.0,8942,3294,952,8114.0,23.76336213208376,1888.0,338.0,1137.0,2746.0,5277.0,67.0,0.0,0.0
Cherokee County, Alabama,26034.0,24216.0,1257.0,357.0,73.0,4.0,45.0,11437.0,9788.0,34907.0,22030.0,375.0,609.0,99400.0,1097.0,6788,2650,996,5415.0,20.79972343858032,1413.0,102.0,589.0,4885.0,336.0,144.0,37.0,0.0
Chilton County, Alabama,43744.0,37447.0,4358.0,3356.0,108.0,0.0,38.0,19878.0,14302.0,41250.0,20701.0,405.0,626.0,102600.0,1056.0,12282,4390,1387,8443.0,19.300932699341622,1872.0,120.0,951.0,6366.0,1425.0,1481.0,20.0,0.0
Choctaw County, Alabama,13687.0,7621.0,5888.0,39.0,8.0,0.0,44.2,5487.0,5586.0,33941.0,20323.0,345.0,593.0,58200.0,889.0,3789,1472,424,2904.0,21.217213414188645,527.0,23.0,346.0,980.0,1851.0,27.0,0.0,0.0
Clarke County, Alabama,25573.0,13798.0,11336.0,118.0,26.0,68.0,40.3,10484.0,9606.0,29357.0,18979.0,325.0,479.0,85600.0,1053.0,7470,2625,733,7416.0,28.999335236382123,1424.0,175.0,810.0,2347.0,4847.0,64.0,0.0,0.0
Clay County, Alabama,13703.0,11240.0,2090.0,415.0,0.0,0.0,42.1,5903.0,5102.0,34002.0,18694.0,276.0,424.0,79900.0,975.0,3731,1384,309,2540.0,18.536086988250748,658.0,19.0,341.0,1839.0,581.0,162.0,0.0,0.0
Cleburne County, Alabama,14945.0,14143.0,530.0,320.0,47.0,0.0,41.3,6529.0,5291.0,38019.0,19108.0,371.0,574.0,100800.0,1000.0,4177,1125,461,2728.0,18.253596520575442,470.0,18.0,243.0,2483.0,113.0,143.0,0.0,0.0
Coffee County, Alabama,50468.0,38896.0,8563.0,3217.0,732.0,0.0,37.8,22824.0,16892.0,43768.0,23380.0,456.0,647.0,131000.0,1169.0,10595,7937,2802,9238.0,18.304668304668304,1923.0,183.0,1192.0,5340.0,3303.0,1181.0,26.0,0.0
Colbert County, Alabama,54456.0,43672.0,8853.0,1201.0,222.0,7.0,41.7,23860.0,20310.0,39077.0,21572.0,399.0,617.0,99300.0,1022.0,13522,7156,2378,9651.0,17.722565006610843,2132.0,179.0,1058.0,6686.0,2252.0,695.0,0.0,0.0
Conecuh County, Alabama,13104.0,6836.0,5856.0,191.0,8.0,0.0,43.2,5055.0,5302.0,24658.0,15605.0,331.0,525.0,69600.0,811.0,3973,1162,390,4264.0,32.53968253968254,1081.0,147.0,502.0,1320.0,2825.0,89.0,0.0,0.0
Coosa County, Alabama,11198.0,7587.0,3424.0,229.0,0.0,0.0,44.7,4867.0,4388.0,37277.0,18493.0,301.0,574.0,75100.0,966.0,3563,821,358,2280.0,20.360778710484016,455.0,21.0,222.0,1157.0,1113.0,58.0,0.0,0.0
Covington County, Alabama,37847.0,31992.0,4799.0,544.0,128.0,26.0,42.4,16772.0,13803.0,35869.0,20391.0,353.0,579.0,88800.0,956.0,9429,4643,1294,7446.0,19.67395037915819,1723.0,170.0,978.0,5363.0,1817.0,59.0,27.0,0.0
Crenshaw County, Alabama,13955.0,10131.0,3172.0,231.0,203.0,0.0,40.6,6303.0,4757.0,36275.0,21343.0,279.0,505.0,70800.0,941.0,3834,1470,435,2621.0,18.781798638480833,566.0,24.0,300.0,1530.0,950.0,58.0,0.0,0.0
Cullman County, Alabama,80499.0,77157.0,917.0,3451.0,394.0,44.0,40.4,36613.0,27580.0,38847.0,20760.0,401.0,605.0,106100.0,1020.0,18160,10548,3089,14903.0,18.513273456813128,3232.0,123.0,1454.0,13912.0,290.0,1739.0,107.0,27.0
Dale County, Alabama,50102.0,37616.0,9690.0,2845.0,633.0,45.0,36.1,24071.0,15406.0,44889.0,22685.0,434.0,616.0,99400.0,996.0,10626,7243,1877,8448.0,16.86160233124426,1757.0,163.0,1094.0,4674.0,2953.0,926.0,72.0,4.0
