County,State,Population,White Population,Black Population,Hispanic Population,Asian Population,Native Hawaiian or Pacific Islander,Median Age,Employed,Unemployed,Household Income,Per Capita Income,Avg Rent,Avg Rent plus Utilities,Median Home Value,Avg Monthly Cost of Home,High School,College,Advanced Degree,Poverty Count,Poverty Rate,Family Poverty,Male Family Poverty,Female Family Poverty,White Poverty,Black Poverty,Hispanic Poverty,Asian Poverty,Native Hawaiian or Pacific Islander Poverty
Los Angeles County, California,9974203.0,5329333.0,832253.0,4800491.0,1394349.0,26074.0,35.3,5116995.0,2796585.0,55870.0,27987.0,1129.0,1221.0,425100.0,2330.0,1557135,1729656,679412,1805868.0,18.10538646546496,316912.0,39190.0,143759.0,852711.0,196990.0,1126170.0,173556.0,3764.0
Madera County, California,152452.0,125830.0,5382.0,84009.0,3335.0,254.0,33.3,58101.0,56370.0,45490.0,17797.0,796.0,937.0,179100.0,1500.0,26471,16333,3804,33290.0,21.83638128722483,6106.0,629.0,2765.0,28174.0,1412.0,23490.0,417.0,6.0
Marin County, California,256802.0,203975.0,6913.0,40414.0,14565.0,593.0,45.1,136347.0,73270.0,91529.0,58004.0,1561.0,1659.0,785100.0,3364.0,24609,70400,45233,21917.0,8.534590852096168,3427.0,605.0,1398.0,13338.0,1471.0,8138.0,1443.0,33.0
Mariposa County, California,17946.0,15850.0,155.0,1729.0,232.0,74.0,50.2,8594.0,6712.0,50560.0,28327.0,650.0,838.0,240300.0,1630.0,3879,3089,1050,2902.0,16.17073442549872,563.0,141.0,202.0,2394.0,34.0,556.0,23.0,0.0
Mendocino County, California,87612.0,72141.0,705.0,20332.0,1570.0,186.0,42.0,42251.0,28274.0,43290.0,23712.0,835.0,972.0,310300.0,1804.0,17002,13967,4842,17395.0,19.854586129753915,2845.0,246.0,1489.0,13023.0,199.0,5829.0,325.0,43.0
Merced County, California,261609.0,168794.0,9115.0,147270.0,19842.0,572.0,30.2,115295.0,75476.0,43066.0,18464.0,729.0,870.0,152600.0,1405.0,44525,23696,6600,65552.0,25.05724191446013,12651.0,1252.0,6098.0,39303.0,2714.0,43589.0,4756.0,11.0
Modoc County, California,9335.0,8396.0,108.0,1345.0,52.0,0.0,47.1,4012.0,3621.0,38560.0,21830.0,486.0,671.0,157300.0,991.0,1861,1698,298,1892.0,20.26780931976433,309.0,24.0,105.0,1547.0,46.0,454.0,7.0,0.0
Mono County, California,14193.0,11993.0,63.0,3843.0,116.0,132.0,37.2,8592.0,3002.0,61814.0,29578.0,948.0,1061.0,324600.0,1976.0,1693,3021,897,704.0,4.960191643768055,69.0,17.0,0.0,347.0,27.0,296.0,0.0,0.0
Monterey County, California,424927.0,319839.0,11826.0,239901.0,26497.0,2183.0,33.3,200196.0,123610.0,58582.0,25048.0,1137.0,1228.0,362100.0,2164.0,64522,58491,23836,69898.0,16.44941366399405,12161.0,1590.0,5297.0,54340.0,1694.0,53561.0,2516.0,133.0
Napa County, California,139253.0,107543.0,2992.0,45937.0,10362.0,356.0,40.3,73545.0,38369.0,70925.0,35092.0,1266.0,1376.0,439000.0,2403.0,20232,29154,10140,13948.0,10.016301264604712,2516.0,278.0,1021.0,10723.0,446.0,6633.0,541.0,35.0
Nevada County, California,98606.0,91335.0,358.0,8751.0,1476.0,165.0,48.8,46953.0,36013.0,56949.0,32117.0,1023.0,1190.0,344800.0,2051.0,15638,23554,8424,12163.0,12.334949191732754,2148.0,317.0,722.0,11121.0,76.0,1694.0,153.0,7.0
Orange County, California,3086331.0,1942675.0,50766.0,1050771.0,573661.0,9472.0,36.7,1623143.0,820897.0,75998.0,34416.0,1435.0,1522.0,532300.0,2596.0,406472,654529,267536,391705.0,12.691606959849738,66148.0,7337.0,26224.0,208177.0,7432.0,211433.0,69756.0,945.0
Placer County, California,361518.0,303509.0,4652.0,47800.0,23317.0,701.0,40.7,177222.0,109053.0,73747.0,35711.0,1127.0,1277.0,345900.0,2226.0,50450,87303,28828,32018.0,8.856543795882915,5875.0,666.0,2540.0,24821.0,1141.0,7860.0,1259.0,62.0
Plumas County, California,19286.0,17273.0,135.0,1594.0,198.0,160.0,50.6,8722.0,7603.0,48032.0,29167.0,649.0,824.0,231400.0,1610.0,3582,3445,1369,3006.0,15.586435756507312,518.0,77.0,186.0,2564.0,43.0,272.0,47.0,0.0
Riverside County, California,2266899.0,1480532.0,141350.0,1055027.0,138538.0,7152.0,34.2,1049299.0,674111.0,56592.0,23660.0,1027.0,1182.0,236400.0,1885.0,391438,296938,104506,376737.0,16.619046547728857,66948.0,7966.0,27609.0,215398.0,30263.0,234815.0,12761.0,2509.0
