County,State,Population,White Population,Black Population,Hispanic Population,Asian Population,Native Hawaiian or Pacific Islander,Median Age,Employed,Unemployed,Household Income,Per Capita Income,Avg Rent,Avg Rent plus Utilities,Median Home Value,Avg Monthly Cost of Home,High School,College,Advanced Degree,Poverty Count,Poverty Rate,Family Poverty,Male Family Poverty,Female Family Poverty,White Poverty,Black Poverty,Hispanic Poverty,Asian Poverty,Native Hawaiian or Pacific Islander Poverty
Corozal Municipio, Puerto Rico,34933.0,28500.0,2097.0,34597.0,0.0,0.0,38.1,11323.0,16729.0,14752.0,7887.0,354.0,513.0,88900.0,695.0,7331,4979,884,19146.0,54.807774883348124,4501.0,483.0,1699.0,15467.0,1449.0,18860.0,0.0,0.0
Maunabo Municipio, Puerto Rico,11297.0,3795.0,7042.0,11169.0,0.0,0.0,43.5,2991.0,6317.0,17636.0,8830.0,330.0,390.0,91000.0,700.0,2355,1846,197,5945.0,52.62459059927414,1349.0,140.0,501.0,2097.0,3594.0,5824.0,0.0,0.0
Peñuelas Municipio, Puerto Rico,21661.0,16967.0,755.0,21603.0,35.0,0.0,36.4,6895.0,10111.0,16868.0,7983.0,330.0,429.0,76600.0,663.0,4664,4127,547,12379.0,57.14879276118369,2896.0,414.0,1096.0,9489.0,427.0,12337.0,35.0,0.0
Ponce Municipio, Puerto Rico,148863.0,117164.0,7493.0,147786.0,148.0,0.0,39.5,45928.0,74965.0,16561.0,10775.0,275.0,372.0,98600.0,808.0,33201,27513,7256,75187.0,50.50751361990555,17577.0,1962.0,9656.0,57671.0,3988.0,74709.0,13.0,0.0
San Sebastián Municipio, Puerto Rico,38970.0,28075.0,996.0,38593.0,97.0,0.0,42.0,11829.0,19956.0,14275.0,8072.0,289.0,395.0,99900.0,768.0,8080,6436,853,21472.0,55.09879394405953,5609.0,669.0,2181.0,15401.0,705.0,21221.0,42.0,0.0
Toa Alta Municipio, Puerto Rico,74169.0,57375.0,5412.0,73520.0,296.0,6.0,37.1,30925.0,28930.0,29672.0,14162.0,487.0,626.0,142800.0,1123.0,13579,16830,3342,22070.0,29.756367215413448,5112.0,514.0,2328.0,16159.0,2147.0,21724.0,244.0,6.0
Toa Baja Municipio, Puerto Rico,81905.0,47902.0,7712.0,81299.0,9.0,7.0,38.9,35177.0,31497.0,24583.0,12240.0,484.0,568.0,131000.0,909.0,17084,16077,3398,29279.0,35.74751236188267,6324.0,645.0,3206.0,15707.0,3334.0,29102.0,9.0,0.0
Vieques Municipio, Puerto Rico,8931.0,4812.0,812.0,8546.0,162.0,0.0,41.4,3355.0,3781.0,16261.0,11136.0,483.0,639.0,108100.0,1372.0,2296,1549,455,3260.0,36.50207143656925,472.0,23.0,162.0,1133.0,423.0,3240.0,162.0,0.0
Yabucoa Municipio, Puerto Rico,35025.0,14950.0,17751.0,34989.0,11.0,0.0,41.6,10592.0,17923.0,15586.0,8672.0,322.0,428.0,87800.0,678.0,6816,6145,875,18297.0,52.23982869379015,3896.0,581.0,1929.0,7226.0,10352.0,18280.0,0.0,0.0
Aguada Municipio, Puerto Rico,39470.0,26408.0,1092.0,36984.0,0.0,0.0,41.0,14467.0,18138.0,16199.0,9001.0,305.0,380.0,87500.0,846.0,7231,7380,1617,20558.0,52.08512794527489,4589.0,493.0,1762.0,13917.0,557.0,19274.0,0.0,0.0
