County,State,Population,White Population,Black Population,Hispanic Population,Asian Population,Native Hawaiian or Pacific Islander,Median Age,Employed,Unemployed,Household Income,Per Capita Income,Avg Rent,Avg Rent plus Utilities,Median Home Value,Avg Monthly Cost of Home,High School,College,Advanced Degree,Poverty Count,Poverty Rate,Family Poverty,Male Family Poverty,Female Family Poverty,White Poverty,Black Poverty,Hispanic Poverty,Asian Poverty,Native Hawaiian or Pacific Islander Poverty
Carroll County, Arkansas,27690.0,25856.0,318.0,4021.0,245.0,143.0,44.4,12294.0,9897.0,38145.0,20888.0,459.0,585.0,118500.0,952.0,6932,3319,1289,4789.0,17.295052365474902,819.0,40.0,327.0,4221.0,208.0,1250.0,53.0,123.0
Chicot County, Arkansas,11189.0,4778.0,6070.0,578.0,46.0,0.0,43.7,4137.0,4775.0,29628.0,18853.0,366.0,571.0,59600.0,833.0,3344,1030,297,3252.0,29.064259540620252,750.0,74.0,488.0,664.0,2398.0,388.0,23.0,0.0
Clark County, Arkansas,22684.0,16387.0,5348.0,1013.0,174.0,0.0,33.6,10900.0,7932.0,35595.0,19500.0,429.0,584.0,92700.0,970.0,4201,3141,1238,4762.0,20.99277023452654,921.0,129.0,544.0,2901.0,1541.0,519.0,20.0,0.0
Clay County, Arkansas,15202.0,14632.0,76.0,275.0,26.0,0.0,44.0,6744.0,5605.0,32404.0,19192.0,338.0,513.0,66700.0,758.0,4778,1339,452,3340.0,21.97079331666886,710.0,88.0,365.0,3217.0,2.0,80.0,0.0,0.0
Cleburne County, Arkansas,25587.0,24850.0,143.0,615.0,147.0,0.0,47.9,10670.0,10526.0,41717.0,25078.0,475.0,679.0,126100.0,930.0,7365,2979,1078,3901.0,15.24602337124321,771.0,38.0,442.0,3812.0,70.0,101.0,5.0,0.0
Cleveland County, Arkansas,8421.0,7299.0,885.0,189.0,9.0,0.0,42.5,3570.0,3225.0,42429.0,21485.0,386.0,651.0,84000.0,941.0,2556,988,313,1671.0,19.843249020306377,401.0,25.0,224.0,1190.0,412.0,107.0,3.0,0.0
Columbia County, Arkansas,24168.0,14506.0,8420.0,619.0,256.0,0.0,36.0,11209.0,8408.0,36507.0,19922.0,416.0,645.0,77100.0,861.0,5997,3014,1056,5581.0,23.092519033432637,1241.0,138.0,628.0,2246.0,2885.0,147.0,21.0,0.0
Conway County, Arkansas,21060.0,17959.0,2490.0,790.0,16.0,0.0,41.0,9006.0,7621.0,38266.0,21896.0,409.0,573.0,100300.0,882.0,6287,2577,815,4482.0,21.28205128205128,881.0,96.0,422.0,3386.0,909.0,451.0,2.0,0.0
Craighead County, Arkansas,102884.0,83094.0,14233.0,4856.0,1222.0,80.0,33.9,50220.0,29833.0,43892.0,24226.0,563.0,699.0,131700.0,1007.0,23072,14485,6075,18682.0,18.1583142179542,3416.0,415.0,2034.0,11502.0,5308.0,1831.0,262.0,26.0
Crawford County, Arkansas,61927.0,55876.0,825.0,4328.0,1086.0,0.0,38.8,27455.0,20647.0,41792.0,20889.0,491.0,654.0,109500.0,931.0,17255,7250,1706,11491.0,18.555718830235598,2615.0,287.0,1144.0,10036.0,120.0,1656.0,150.0,0.0
